,,,,valence,valence,arousal,arousal,valence,valence,arousal,arousal,valence,valence,arousal,arousal,,,,,Lexical ,Lexical,,,,,,
French,English,Picture,Picture,all,all,all,all,male,male,male,male,female,female,female,female,Number,Number,Number,Grammatical,Frequency,Frequency ,Imageability,Bonin,Gilet,Niedenthal,Ric,Syssau
Words,Translation,Source,Number,Mean,ET,Mean,ET,Mean,ET,Mean ,ET,Mean ,ET,Mean ,ET,of letters,of phonems,of syllables,Class,in films,in books,Mean,et al. (2003),et al. (2012),et al. (2004),et al. (2013),& Font (2005)
taille,size,,,5.35,1.06,3.22,2.31,5.29,1.16,3.24,2.66,5.40,0.99,3.20,2.04,6,3,1,NOUN,41.32,72.84,3.70,,,,,
talon ,heel,B,271,6.27,2.02,4.70,2.58,5.12,1.96,3.65,2.60,7.25,1.52,5.60,2.26,5,4,2,NOUN,4.03,12.36,6.35,1,,,,
tambour,drum,AF,80,5.00,2.03,4.11,2.84,5.35,1.93,3.82,2.94,4.70,2.11,4.35,2.80,7,5,2,NOUN,7.80,10.54,6.61,1,,,,1
tambourin,tambourine,AF,313,5.49,1.69,3.86,2.42,4.88,2.03,3.88,2.60,6.00,1.17,3.85,2.32,9,6,3,NOUN,0.49,0.47,5.73,1,,,,
tampon ,stamp,B,272,4.08,1.96,3.86,2.47,4.41,1.80,4.29,2.37,3.80,2.09,3.50,2.56,6,4,2,NOUN,2.96,5.14,6.23,1,,,,
tante,aunt,,,5.84,2.15,3.95,2.61,5.76,2.05,3.82,2.21,5.90,2.29,4.05,2.96,5,3,1,NOUN,70.69,110.95,5.41,,,,,
tapis,carpet,,,5.35,1.10,3.28,1.97,5.13,0.35,2.25,1.83,5.38,1.15,3.39,1.96,5,4,2,NOUN,20.13,60.88,6.76,1,,,,1
tarte,pie,,,7.54,1.28,5.97,2.09,7.53,1.07,6.00,1.97,7.55,1.47,5.95,2.24,5,4,1,NOUN,10.41,8.31,6.70,1,,,,1
tartine ,slice of bread,B,274,6.70,1.71,5.14,2.47,5.89,1.94,5.00,2.50,7.16,1.39,5.22,2.49,7,6,2,NOUN,1.41,8.38,5.98,1,,,,1
tasse,cup,AF,70,5.76,1.55,3.59,2.29,6.06,1.64,4.00,2.52,5.50,1.47,3.25,2.07,5,3,1,NOUN,18.52,25.07,6.85,1,,,,1
taupe ,mole,B,275,4.84,1.95,3.05,2.10,5.18,1.91,3.29,2.17,4.57,1.99,2.86,2.08,5,3,1,NOUN,5.42,2.84,5.72,1,,,,1
taureau (bison),bull,B,38,5.54,2.60,5.68,2.61,6.53,1.84,5.65,2.55,4.70,2.89,5.70,2.74,7,4,2,NOUN,8.37,10.00,6.69,1,,,,
téléphone,telephone,AF,227,6.61,2.21,5.16,2.62,5.35,2.37,5.12,2.52,7.62,1.47,5.19,2.75,9,7,3,NOUN,155.68,93.99,6.80,1,,,,1
télévision,television,AF,228,6.19,2.41,4.59,2.55,5.65,2.78,4.18,2.70,6.65,2.01,4.95,2.44,10,9,4,NOUN,25.45,23.51,6.83,1,,,,1
témérité,recklessness,,,4.35,2.22,3.82,2.26,4.92,1.68,5.00,1.60,4.25,2.30,3.60,2.30,8,8,4,NOUN,0.87,1.22,,,,,,1
temps,time,,,5.89,2.13,4.08,2.38,5.94,2.41,4.71,2.05,5.85,1.93,3.55,2.56,5,2,1,NOUN,1031.05,1289.39,2.70,,,,,1
tendance,tendancy,,,5.45,1.46,4.05,2.18,3.89,1.76,5.44,1.88,5.66,1.30,3.87,2.16,8,5,2,NOUN,10.95,14.26,2.41,,,,,1
tendresse,tenderness,,,8.00,1.22,5.76,2.49,7.82,1.55,5.53,2.67,8.15,0.88,5.95,2.37,9,6,2,NOUN,15.66,59.39,3.16,,,1,,1
tennis,tennis,,,5.59,1.90,4.53,2.44,6.00,1.60,4.75,2.55,5.55,1.93,4.51,2.45,6,5,2,NOUN,11.37,13.24,,,,,,1
tente ,tent,B,276,6.30,2.12,4.51,2.96,5.65,2.32,4.00,3.04,6.85,1.81,4.95,2.89,5,3,1,NOUN,14.40,19.12,6.19,1,,,,1
terre,world,,,5.76,1.76,3.51,2.33,6.00,1.54,3.81,2.32,5.57,1.94,3.29,2.37,5,3,1,NOUN,276.29,420.88,6.01,,,,,1
tétine ,pacifier,B,277,6.08,2.17,3.73,2.64,5.71,2.20,3.59,2.87,6.40,2.14,3.85,2.50,6,5,2,NOUN,0.43,0.68,5.37,1,,,,
théorie,theory,,,4.96,1.56,4.17,2.18,5.42,1.98,4.75,2.42,4.88,1.47,4.06,2.14,7,5,3,NOUN,27.29,8.04,2.99,,,,,1
thermomètre,thermometer,AF,390,4.35,1.72,2.81,2.08,5.18,1.29,2.35,1.84,3.65,1.76,3.20,2.24,11,9,3,NOUN,1.37,5.07,6.63,1,,,,
thon ,tuna,,,5.35,2.00,3.43,2.47,5.88,2.32,3.94,2.59,4.90,1.62,3.00,2.34,4,2,1,NOUN,5.66,1.89,6.40,,,,,
tigre,tiger,AF,233,7.32,1.75,6.41,1.98,7.53,1.55,6.53,1.70,7.15,1.93,6.30,2.23,5,4,1,NOUN,11.14,4.86,6.90,1,,,,1
timbre,stamp,,,5.24,1.46,3.46,2.22,5.35,0.86,3.76,2.08,5.15,1.84,3.20,2.35,6,4,1,NOUN,1.82,13.18,6.65,1,,,,1
tirelire ,piggy-bank,B,278,6.32,2.24,4.78,2.65,6.06,2.38,3.88,3.06,6.55,2.14,5.55,2.01,8,7,3,NOUN,1.39,2.09,5.94,1,,,,
tiret ,dash,,,4.81,1.31,2.81,1.97,5.06,1.34,3.06,2.08,4.60,1.27,2.60,1.90,5,4,2,NOUN,0.20,0.27,4.61,,,,,
titre,title,,,5.22,1.51,2.78,2.25,5.35,1.58,3.47,2.79,5.10,1.48,2.20,1.51,5,4,1,NOUN,32.40,53.04,4.05,,,,,1
toilette ,lavatory,B,279,4.57,1.83,2.92,2.35,5.00,1.77,3.06,2.16,4.20,1.85,2.80,2.55,8,6,2,NOUN,9.76,32.30,6.76,1,,,,
toit ,roof,B,280,5.32,1.27,3.16,2.22,5.53,1.28,3.71,2.11,5.15,1.27,2.70,2.25,4,3,1,NOUN,42.63,54.59,6.69,1,,,,
tomate,tomato,AF,236,5.08,1.72,3.38,2.48,5.53,1.23,3.35,2.62,4.70,2.00,3.40,2.41,6,5,2,NOUN,7.88,5.74,6.98,1,,,,1
tondeuse,lawnmower,AF,293,4.24,1.65,3.55,2.52,4.71,1.53,4.06,2.77,3.86,1.68,3.14,2.29,8,5,2,NOUN,1.72,1.49,6.43,1,,,,
tonneau,barrel,B,24,4.87,1.79,3.32,2.39,5.41,2.21,3.71,2.69,4.43,1.25,3.00,2.14,7,4,2,NOUN,2.94,6.89,5.13,1,,,,1
torchon ,dish cloth,B,281,4.43,1.66,2.62,2.25,4.59,1.70,3.24,2.66,4.30,1.66,2.10,1.74,7,5,2,NOUN,2.95,7.23,5.41,1,,,,
tortue,turtle,AF,244,5.54,1.88,3.08,2.44,5.94,1.68,3.47,2.90,5.20,2.02,2.75,2.00,6,5,2,NOUN,4.00,4.66,6.85,1,,,,1
touche,button,,,4.97,1.54,3.39,2.84,4.82,1.59,3.85,2.76,5.10,1.52,3.00,2.92,6,3,1,NOUN,11.35,9.66,4.40,,,,,
toupie,top,AF,238,5.35,2.07,3.68,2.39,5.94,2.08,3.82,2.51,4.90,2.00,3.57,2.36,6,4,2,NOUN,1.50,3.04,6.30,1,,,,1
tournevis,screwdriver,AF,199,4.81,1.60,3.65,2.28,5.35,1.27,4.06,2.28,4.35,1.73,3.30,2.27,9,8,3,NOUN,3.46,3.24,6.78,1,,,,1
tracteur,tractor,AF,317,4.30,1.88,2.89,2.37,4.76,1.79,2.94,2.28,3.90,1.92,2.85,2.50,8,7,2,NOUN,2.87,5.27,6.61,1,,,,1
trahison,betrayal,,,1.52,1.20,7.32,2.51,2.56,2.60,6.78,2.22,1.38,0.81,7.40,2.55,8,6,3,NOUN,16.74,15.27,2.63,,,,,1
train,train,AF,240,5.32,1.56,3.62,2.36,5.59,1.91,3.59,2.53,5.10,1.21,3.65,2.28,5,3,1,NOUN,244.40,271.28,6.79,1,,,,1
trait ,line,,,4.80,0.70,2.60,1.82,4.94,0.42,3.11,1.81,4.72,0.81,2.31,1.79,5,3,1,NOUN,7.83,37.91,4.60,,,,,
traître,traitor,,,1.52,1.19,6.27,2.47,1.75,1.49,6.38,2.67,1.49,1.16,6.25,2.47,7,5,1,NOUN,19.18,7.30,3.10,,,,,1
tranquille,quiet,,,7.43,1.38,2.30,2.13,7.67,1.56,2.92,2.71,7.38,1.35,2.18,2.01,10,6,2,ADJ,103.28,77.50,,,1,,1,1
transport,transportation,,,5.01,1.59,4.69,2.31,5.22,1.30,5.67,2.65,4.99,1.63,4.56,2.25,9,7,2,NOUN,13.06,14.12,4.84,,,,,1
travail,work,,,4.17,2.24,4.33,2.64,4.50,2.61,4.63,3.16,3.90,1.92,4.10,2.20,7,6,2,NOUN,367.43,223.99,4.16,,,,,1
trèfle ,clover,B,284,6.78,1.49,4.22,2.52,6.06,1.35,4.50,2.31,7.19,1.42,4.06,2.65,6,5,1,NOUN,2.75,4.19,6.51,1,,,,
trente,thirty,,,5.14,2.20,3.51,2.70,5.76,1.95,3.65,2.67,4.60,2.30,3.40,2.80,6,4,1,ADJ:num,18.91,79.12,4.80,,,,,
triangle,triangle,,,5.05,1.33,3.51,2.39,5.12,1.76,3.59,2.35,5.00,0.86,3.45,2.48,8,7,2,NOUN,3.42,10.68,6.74,,,,,
tristesse,sadness,,,2.08,1.53,5.41,2.82,2.59,1.91,6.24,2.25,1.65,0.99,4.70,3.11,9,7,2,NOUN,12.91,46.96,3.31,,,1,,1
troc,barter,,,5.80,1.64,4.20,2.37,6.13,1.46,2.50,1.41,5.76,1.67,4.39,2.39,4,4,1,NOUN,1.08,1.76,3.60,,,,,1
tromperie,trickery,,,1.73,1.39,7.12,2.18,2.42,2.27,6.42,2.43,1.60,1.14,7.25,2.12,9,7,3,NOUN,1.17,1.69,,,,,,1
trompette,trumpet,AF,243,5.78,1.92,4.35,2.93,6.35,2.15,5.29,3.04,5.30,1.59,3.55,2.65,9,6,2,NOUN,5.71,5.61,6.73,1,,,,1
tronc ,trunk,B,287,4.97,1.66,3.19,2.17,5.29,1.10,3.53,2.03,4.70,2.00,2.90,2.29,5,3,1,NOUN,4.84,20.74,6.21,1,,,,
trou,hole,,,4.68,1.68,3.19,2.49,4.71,1.26,2.76,2.31,4.65,2.01,3.55,2.65,4,3,1,NOUN,75.32,76.08,6.43,,,,,1
trousse ,pencil case,,,4.76,1.21,2.16,2.02,4.82,1.51,2.35,2.52,4.70,0.92,2.00,1.52,7,4,1,NOUN,3.77,4.59,4.95,1,,,,
truc ,thing,,,5.38,1.16,3.11,2.27,5.18,0.81,2.88,2.39,5.55,1.39,3.30,2.20,4,4,1,NOUN,274.94,51.15,2.51,,,,,1
tulipe,tulip,,,6.99,1.36,3.04,2.24,6.22,1.56,3.44,2.24,7.09,1.31,2.99,2.25,6,5,2,NOUN,1.53,0.54,6.90,,,,,1
tunnel ,tunnel,B,291,4.08,1.71,3.59,2.27,4.18,1.55,3.82,2.38,4.00,1.86,3.40,2.21,6,5,2,NOUN,15.88,12.30,6.27,1,,,,
tuyau,pipe,B,97,4.92,1.04,2.49,1.85,4.76,1.25,2.41,1.97,5.05,0.83,2.55,1.79,5,5,2,NOUN,17.51,11.96,6.58,1,,,,
uni,plain,,,7.19,1.75,5.15,2.35,7.13,2.03,4.38,2.20,7.20,1.73,5.24,2.37,3,3,2,ADJ,0.64,3.24,,,,,,1
usine ,factory,B,293,3.18,2.02,3.61,2.87,3.88,2.20,4.53,2.94,2.62,1.72,2.86,2.65,5,4,2,NOUN,43.51,28.04,6.19,1,,,,
usure,wear,,,2.92,1.40,4.24,2.28,3.58,1.56,4.50,2.88,2.80,1.35,4.19,2.17,5,4,2,NOUN,1.77,10.00,3.50,,,,,1
vache,cow,AF,68,5.53,2.50,3.37,2.35,5.82,2.27,2.71,1.53,5.29,2.70,3.90,2.77,5,3,1,NOUN,36.24,26.08,6.90,1,,,,1
vague,wave,,,6.86,1.95,5.00,2.72,7.28,1.71,5.33,2.54,6.63,2.06,4.81,2.83,5,3,1,NOUN,12.80,38.18,6.52,,,,,
vainqueur ,winner,,,7.64,1.32,6.74,2.22,7.28,1.49,6.61,2.15,7.84,1.19,6.81,2.29,9,5,2,NOUN,6.71,5.74,4.55,,,,,
vaisselle,dishes,,,3.81,1.64,3.90,2.39,3.67,1.50,5.33,2.55,3.82,1.67,3.71,2.32,9,5,2,NOUN,12.10,24.93,6.50,,,,,1
valeur,value,,,6.89,1.60,4.90,2.25,5.88,0.99,4.00,2.67,7.00,1.62,5.00,2.20,6,5,2,NOUN,32.48,40.74,2.62,,,,,1
valise,suitcase,AF,221,6.70,2.08,6.00,2.63,6.11,2.22,5.28,2.76,7.03,1.96,6.41,2.51,6,5,2,NOUN,33.21,47.43,6.69,1,,,,1
vase,vase,AF,246,4.95,1.31,2.95,2.26,4.88,1.11,3.29,2.23,5.00,1.49,2.65,2.30,4,3,1,NOUN,9.83,26.76,4.57,1,,,,1
vaste,vast,,,5.90,1.85,4.23,2.51,6.50,1.68,4.67,3.08,5.78,1.87,4.15,2.41,5,4,1,ADJ,8.44,55.61,2.90,,,,,1
vélo,bicycle,AF,27,6.86,1.86,5.27,2.63,7.53,1.70,5.29,2.31,6.30,1.84,5.25,2.94,4,4,2,NOUN,32.95,24.32,6.89,1,,,,1
vénéneux,poisonous,,,2.33,1.58,5.50,2.43,4.00,1.94,5.67,1.66,2.10,1.39,5.48,2.52,8,6,3,ADJ,0.55,1.22,,,,,,1
vent,wind,,,3.82,2.76,3.32,2.46,4.18,2.63,2.88,2.26,3.52,2.89,3.67,2.61,4,2,1,NOUN,71.50,207.64,5.19,,,,,1
vérité,truth,,,7.58,1.45,5.11,2.81,7.29,1.45,4.71,2.89,7.81,1.44,5.43,2.77,6,6,3,NOUN,190.21,133.38,2.37,,,,,1
verre,glass,AF,104,5.54,1.74,3.78,2.31,5.47,1.37,4.41,2.55,5.60,2.04,3.25,2.00,5,3,1,NOUN,154.13,175.20,6.48,1,,,,1
vert,green,,,6.04,1.71,3.84,2.34,6.25,1.49,2.50,2.07,6.01,1.74,3.99,2.33,4,3,1,ADJ,24.74,59.12,5.60,,,,,1
vertige,dizziness,,,3.01,1.90,5.68,2.57,3.67,2.31,6.08,2.47,2.89,1.81,5.60,2.60,7,6,2,NOUN,6.14,24.26,3.59,,,,,1
vertu,virtue,,,6.96,1.53,4.11,2.29,6.78,1.30,3.33,2.06,6.99,1.57,4.21,2.31,5,5,2,NOUN,13.49,24.05,2.17,,,,,1
veste,jacket,AF,125,5.68,1.62,3.59,2.28,5.12,1.54,3.00,2.15,6.15,1.57,4.10,2.31,5,4,1,NOUN,36.00,55.68,6.19,1,,,,1
vêtement,clothes,,,6.82,1.69,4.53,2.55,5.25,1.98,2.75,1.75,7.00,1.58,4.73,2.55,8,6,3,NOUN,3.84,15.34,6.26,,,,,1
viande,meat,,,6.59,2.15,5.51,2.38,7.65,1.22,5.71,2.59,5.70,2.39,5.35,2.23,6,4,1,NOUN,43.78,41.35,6.18,,,,,
victoire,win,,,8.21,1.10,7.12,2.37,8.00,1.35,6.17,2.98,8.25,1.06,7.29,2.22,8,7,2,NOUN,31.31,57.23,3.86,,,,,1
vie,life,,,7.78,1.86,6.54,2.98,8.12,1.22,7.12,2.52,7.50,2.26,6.05,3.30,3,2,1,NOUN,986.59,835.47,3.22,,,,,1
vieux,old,,,4.03,2.30,3.08,2.61,4.29,2.37,3.65,2.60,3.81,2.27,2.62,2.60,5,3,1,NOUN,124.54,129.80,5.40,,1,,1,1
vin,wine,,,5.70,2.65,4.58,2.76,6.83,1.65,5.56,2.50,5.06,2.91,4.03,2.79,3,2,1,NOUN,80.92,99.93,6.45,,,,,1
vingt,twenty,,,5.82,1.81,4.36,2.83,6.00,1.50,5.00,2.63,5.72,1.99,4.00,2.92,5,2,1,ADJ:num,29.47,154.59,5.10,1,,,,
violon,violin,AF,248,5.47,2.14,3.55,2.25,5.76,1.56,3.24,1.82,5.24,2.53,3.81,2.56,6,5,2,NOUN,11.56,9.73,6.80,1,,,,1
vis,screw,AF,198,4.11,1.47,2.89,2.04,4.53,1.01,3.24,2.11,3.76,1.70,2.62,1.99,3,3,1,NOUN,6.89,6.15,4.90,1,,,,1
vitesse,speed,,,7.03,2.11,6.82,2.56,6.88,2.20,6.47,2.48,7.14,2.08,7.10,2.64,7,5,2,NOUN,37.89,54.59,3.72,,,,,1
vitre,window,,,4.84,1.07,2.62,2.03,5.12,0.78,2.35,1.97,4.60,1.23,2.85,2.11,5,4,1,NOUN,10.21,41.28,6.11,,,,,
voile ,sail,B,296,5.35,1.46,3.92,2.72,5.12,0.78,2.65,2.23,5.55,1.85,5.00,2.68,5,4,1,NOUN,15.49,30.27,6.25,1,,,,
voilier,sailboat,,,6.45,1.65,4.21,2.61,6.56,1.67,5.00,2.69,6.43,1.66,4.11,2.60,7,6,2,NOUN,1.67,2.77,6.47,1,,,,1
voiture,car,AF,47,6.81,1.94,5.43,2.83,6.82,2.01,5.76,2.56,6.80,1.94,5.15,3.08,7,6,2,NOUN,388.87,221.15,6.82,1,,,,1
vol,flight,,,3.43,2.58,5.77,2.52,3.50,2.56,5.50,2.33,3.42,2.59,5.80,2.55,3,3,1,NOUN,74.14,41.22,4.61,,,,,1
volant ,steering wheel,B,297,6.16,1.94,4.98,2.78,6.61,1.61,5.61,2.66,5.91,2.08,4.63,2.83,6,4,2,NOUN,19.23,33.51,5.78,1,,,,
volcan ,volcano,B,298,5.50,2.46,5.59,2.58,6.59,1.28,5.29,2.44,4.58,2.84,5.85,2.72,6,5,2,NOUN,4.52,3.85,6.76,1,,,,
vote,vote,,,6.25,1.63,4.63,2.41,5.25,2.25,4.00,2.83,6.37,1.52,4.70,2.37,4,3,1,NOUN,11.62,3.72,4.30,,,,,1
voyage,travel,,,8.30,1.15,7.11,2.46,8.24,1.20,7.53,2.35,8.35,1.14,6.75,2.55,6,6,2,NOUN,112.19,110.54,5.50,,,,,1
vrai,true,,,7.06,1.77,4.92,2.83,6.72,1.93,5.06,2.75,7.25,1.67,4.84,2.91,4,3,1,NOUN,34.59,32.70,,,,,,
wagon ,truck,B,299,4.76,1.50,3.86,2.52,4.59,1.06,2.94,2.38,4.90,1.80,4.65,2.41,5,4,2,NOUN,6.53,18.11,6.58,1,,,,
yo-yo,yoyo,AF,320,5.84,1.71,3.62,2.37,5.56,1.92,3.22,1.77,6.00,1.59,3.84,2.65,5,4,2,NOUN,1.03,0.47,6.61,1,,,,
zèbre,zebra,AF,260,6.86,1.55,4.08,2.34,6.82,1.81,4.35,2.45,6.90,1.33,3.85,2.28,5,4,1,NOUN,2.65,3.04,6.94,1,,,,1
zoo,zoo,,,6.84,2.02,5.19,2.50,6.94,2.05,4.88,2.69,6.75,2.05,5.45,2.37,3,3,2,NOUN,11.45,6.08,6.50,,,,,
